Region,CNN,Fox News,Year
District of Columbia,0.78,0.22,2006
Delaware,0.76,0.24,2006
Vermont,0.82,0.18,2006
Virginia,0.77,0.23,2006
Tennessee,0.73,0.27,2006
Alabama,0.62,0.38,2006
Georgia,0.71,0.29,2006
Maryland,0.77,0.23,2006
New Mexico,0.78,0.22,2006
North Carolina,0.75,0.25,2006
Connecticut,0.83,0.17,2006
Minnesota,0.76,0.24,2006
Maine,0.82,0.18,2006
South Carolina,0.71,0.29,2006
New York,0.82,0.18,2006
Wisconsin,0.75,0.25,2006
Hawaii,0.85,0.15,2006
West Virginia,0.71,0.29,2006
Nebraska,0.77,0.23,2006
Ohio,0.73,0.27,2006
Pennsylvania,0.78,0.22,2006
Kentucky,0.74,0.26,2006
Montana,0.75,0.25,2006
New Hampshire,0.78,0.22,2006
South Dakota,0.77,0.23,2006
Alaska,0.75,0.25,2006
Texas,0.71,0.29,2006
Indiana,0.75,0.25,2006
Missouri,0.65,0.35,2006
Massachusetts,0.79,0.21,2006
Arizona,0.75,0.25,2006
Oklahoma,0.69,0.31,2006
New Jersey,0.81,0.19,2006
Illinois,0.75,0.25,2006
Florida,0.74,0.26,2006
Mississippi,0.67,0.33,2006
Arkansas,0.68,0.32,2006
Oregon,0.74,0.26,2006
Colorado,0.71,0.29,2006
Michigan,0.72,0.28,2006
Iowa,0.77,0.23,2006
Louisiana,0.72,0.28,2006
Kansas,0.68,0.32,2006
Idaho,0.70,0.30,2006
California,0.81,0.19,2006
Rhode Island,0.80,0.20,2006
Washington,0.79,0.21,2006
Nevada,0.68,0.32,2006
Wyoming,0.68,0.32,2006
North Dakota,0.71,0.29,2006
Utah,0.67,0.33,2006
Vermont,0.84,0.16,2007
District of Columbia,0.77,0.23,2007
Virginia,0.76,0.24,2007
North Carolina,0.73,0.27,2007
Maryland,0.76,0.24,2007
Georgia,0.70,0.30,2007
West Virginia,0.69,0.31,2007
Nebraska,0.77,0.23,2007
South Carolina,0.69,0.31,2007
New Mexico,0.76,0.24,2007
Alabama,0.58,0.42,2007
Connecticut,0.82,0.18,2007
Tennessee,0.71,0.29,2007
Minnesota,0.73,0.27,2007
Delaware,0.78,0.22,2007
Maine,0.80,0.20,2007
Alaska,0.74,0.26,2007
New York,0.82,0.18,2007
Missouri,0.64,0.36,2007
Arkansas,0.67,0.33,2007
Ohio,0.68,0.32,2007
Texas,0.70,0.30,2007
Pennsylvania,0.77,0.23,2007
Wisconsin,0.71,0.29,2007
Illinois,0.74,0.26,2007
New Hampshire,0.78,0.22,2007
Iowa,0.74,0.26,2007
Hawaii,0.82,0.18,2007
Florida,0.73,0.27,2007
Indiana,0.72,0.28,2007
New Jersey,0.78,0.22,2007
Wyoming,0.68,0.32,2007
Mississippi,0.64,0.36,2007
Louisiana,0.69,0.31,2007
Arizona,0.71,0.29,2007
Massachusetts,0.77,0.23,2007
Kentucky,0.71,0.29,2007
Oklahoma,0.67,0.33,2007
Kansas,0.67,0.33,2007
Rhode Island,0.80,0.20,2007
Oregon,0.75,0.25,2007
Michigan,0.68,0.32,2007
Idaho,0.70,0.30,2007
Colorado,0.70,0.30,2007
Nevada,0.67,0.33,2007
South Dakota,0.70,0.30,2007
Montana,0.69,0.31,2007
California,0.80,0.20,2007
Washington,0.78,0.22,2007
