state,voted_in_person,In person on Election Day (at polling place or precinct),In person before Election Day,voted_by_mail
Alabama,97.20261,92.25961,4.943,2.797386646
Alaska,86.99636,62.12092,24.87544,13.00364685
Arizona,36.78005,32.87816,3.90189,63.21994781
Arkansas,97.0419,31.70621,65.33569,2.95810318
California,46.5262,43.3685,3.1577,53.47380447
Colorado,21.68512,7.88232,13.8028,78.31487274
Connecticut,97.39633,94.30875,3.08758,2.603657722
Delaware,95.8859,92.13642,3.74948,4.114097118
District of Columbia,89.15647,59.20659,29.94988,10.84352493
Florida,60.30384,25.78723,34.51661,39.69616318
Georgia,90.89151,41.66579,49.22572,9.108493805
Hawaii,44.00026,32.40872,11.59154,55.9997406
Idaho,89.29906,72.05962,17.23944,10.70093727
Illinois,88.70366,55.11828,33.58538,11.29633236
Indiana,95.14496,67.067,28.07796,4.855041027
Iowa,66.77861,44.89619,21.88242,33.22138214
Kansa,78.53549,45.18325,33.35224,21.46452141
Kentucky,95.48762,90.76633,4.72129,4.512385845
Louisiana,95.7831,71.20422,24.57888,4.216900349
Maine,81.52325,67.66414,13.85911,18.47675133
Maryland,93.15388,56.87995,36.27393,6.846122265
Massachusetts,93.17267,54.49291,38.67976,6.827328682
Michigan,70.12606,69.16578,0.96028,29.87393951
Minnesota,87.59011,71.0951,16.49501,12.40989494
Mississippi,97.91135,91.93201,5.97934,2.088656425
Missouri,94.36041,88.1232,6.23721,5.639591217
Montana,37.11765,30.63725,6.4804,62.88234329
Nebraska,68.65974,57.82928,10.83046,31.34026146
Nevada,88.65027,30.22585,58.42442,11.34972
New Hampshire,94.03655,90.38094,3.65561,5.963459015
New Jersey,81.58179,76.84533,4.73646,18.41821671
New Mexico,88.59003,30.38708,58.20295,11.40997791
New York,93.96017,93.25391,0.70626,6.039823532
North Carolina,93.03076,34.76544,58.26532,6.969232559
North Dakota,75.27127,50.06559,25.20568,24.72872353
Ohio,64.76004,43.59334,21.1667,35.23995209
Oklahoma,90.50669,80.03743,10.46926,9.493301392
Oregon,7.61218,3.85068,3.7615,92.38782501
Pennsylvania,95.33825,94.35506,0.98319,4.661757946
Rhode Island,91.61225,87.77645,3.8358,8.387748718
South Carolina,88.48701,72.07879,16.40822,11.51298809
South Dakota,92.3114,63.91478,28.39662,7.688594818
Tennessee,96.34115,31.14506,65.19609,3.658848763
Texas,86.96448,20.14128,66.8232,13.03551674
Utah,37.42121,22.9402,14.48101,62.57878494
Vermont,87.43424,64.80434,22.6299,12.56576443
Virginia,91.79784,80.92987,10.86797,8.20216465
Washington,8.60968,7.50155,1.10813,91.39031982
West Virginia,92.80883,60.27262,32.53621,7.191174507
Wisconsin,90.96326,57.68929,33.27397,9.036746979
Wyoming,85.00101,65.69929,19.30172,14.99898624
