date,CNN,FOX
Jan-04,31,13
Feb-04,32,13
Mar-04,33,14
Apr-04,35,15
May-04,35,16
Jun-04,36,15
Jul-04,35,17
Aug-04,39,17
Sep-04,44,21
Oct-04,49,25
Nov-04,68,35
Dec-04,41,15
Jan-05,39,15
Feb-05,35,15
Mar-05,40,17
Apr-05,45,17
May-05,38,16
Jun-05,48,19
Jul-05,51,20
Aug-05,58,23
Sep-05,66,28
Oct-05,45,16
Nov-05,40,15
Dec-05,40,15
Jan-06,42,16
Feb-06,41,16
Mar-06,40,16
Apr-06,39,15
May-06,41,17
Jun-06,42,16
Jul-06,50,18
Aug-06,52,20
Sep-06,53,21
Oct-06,53,20
Nov-06,55,23
Dec-06,47,17
Jan-07,48,21
Feb-07,53,23
Mar-07,49,21
Apr-07,66,25
May-07,47,20
Jun-07,51,22
Jul-07,50,21
Aug-07,58,22
Sep-07,56,23
Oct-07,53,23
Nov-07,50,22
Dec-07,47,21
Jan-08,62,28
Feb-08,71,29
Mar-08,65,28
Apr-08,58,25
May-08,61,26
Jun-08,57,24
Jul-08,56,25
Aug-08,68,31
Sep-08,87,45
Oct-08,97,50
Nov-08,100,48
Dec-08,63,31
Jan-09,79,37
Feb-09,63,34
Mar-09,60,33
Apr-09,65,37
May-09,54,31
Jun-09,71,34
Jul-09,62,31
Aug-09,52,31
Sep-09,54,34
Oct-09,52,34
Nov-09,48,33
Dec-09,45,30
Jan-10,50,35
Feb-10,45,30
Mar-10,45,32
Apr-10,44,28
May-10,46,29
Jun-10,47,28
Jul-10,41,24
Aug-10,40,25
Sep-10,45,26
Oct-10,45,26
Nov-10,46,30
Dec-10,42,24
Jan-11,50,31
Feb-11,50,31
Mar-11,70,36
Apr-11,54,31
May-11,65,35
Jun-11,48,28
Jul-11,56,31
Aug-11,64,33
Sep-11,53,31
Oct-11,53,30
Nov-11,48,29
Dec-11,45,27
Jan-12,48,30
Feb-12,51,29
Mar-12,47,28
Apr-12,45,27
May-12,45,26
Jun-12,46,29
Jul-12,50,29
Aug-12,50,30
Sep-12,51,35
Oct-12,73,48
Nov-12,77,56
Dec-12,70,40
Jan-13,56,35
Feb-13,58,34
Mar-13,56,33
Apr-13,97,47
May-13,67,38
Jun-13,57,33
Jul-13,70,38
Aug-13,58,33
Sep-13,61,35
Oct-13,64,39
Nov-13,48,31
Dec-13,47,30
Jan-14,48,30
Feb-14,48,29
Mar-14,73,34
Apr-14,60,30
May-14,50,27
Jun-14,49,30
Jul-14,55,31
Aug-14,59,34
Sep-14,59,33
Oct-14,62,33
Nov-14,57,37
Dec-14,49,32
Jan-15,48,33
Feb-15,43,31
Mar-15,42,29
Apr-15,44,28
May-15,41,28
Jun-15,45,31
Jul-15,45,31
Aug-15,47,38
Sep-15,50,32
Oct-15,48,31
Nov-15,52,34
Dec-15,50,32
Jan-16,37,30
Feb-16,40,28
Mar-16,47,34
Apr-16,37,24
May-16,36,26
Jun-16,44,29
Jul-16,52,40
Aug-16,42,30
Sep-16,46,35
Oct-16,53,42
Nov-16,76,63
Dec-16,37,33
Jan-17,54,45
Feb-17,50,41
Mar-17,46,36
Apr-17,49,40
May-17,47,38
Jun-17,48,40
Jul-17,44,36
Aug-17,52,42
Sep-17,53,41
Oct-17,50,43
Nov-17,42,39
Dec-17,44,42
Jan-18,46,43
Feb-18,46,43
Mar-18,43,40
Apr-18,43,42
May-18,41,42
Jun-18,39,42
Jul-18,39,43
Aug-18,43,44
Sep-18,48,47
Oct-18,46,48
Nov-18,47,45
Dec-18,40,36
Jan-19,45,40
Feb-19,40,37
Mar-19,38,38
Apr-19,36,37
May-19,35,36
Jun-19,33,36
Jul-19,36,39
Aug-19,37,40
Sep-19,39,39
Oct-19,41,43
Nov-19,36,42
Dec-19,34,43
Jan-20,46,52
Feb-20,40,49
Mar-20,74,68
Apr-20,52,52
May-20,43,43
Jun-20,45,50
Jul-20,44,50
