year,state,state_po,state_cen,state_ic,office,candidate,party,writein,candidatevotes,totalvotes
2008,Alabama,AL,63,41,US President,"McCain, John",republican,FALSE,1266546,2099819
2008,Alabama,AL,63,41,US President,"Obama, Barack H.",democrat,FALSE,813479,2099819
2008,Alaska,AK,94,81,US President,"McCain, John",republican,FALSE,193841,326197
2008,Alaska,AK,94,81,US President,"Obama, Barack H.",democrat,FALSE,123594,326197
2008,Alaska,AK,94,81,US President,"Nader, Ralph",independent,FALSE,3783,326197
2008,Alaska,AK,94,81,US President,"Baldwin, Charles """"Chuck""""",alaskan independence party,FALSE,1660,326197
2008,Alaska,AK,94,81,US President,"Barr, Bob",libertarian,FALSE,1589,326197
2008,Arizona,AZ,86,61,US President,"McCain, John",republican,FALSE,1230111,2293475
2008,Arizona,AZ,86,61,US President,"Obama, Barack H.",democrat,FALSE,1034707,2293475
2008,Arizona,AZ,86,61,US President,"Barr, Bob",libertarian,FALSE,12555,2293475
2008,Arizona,AZ,86,61,US President,"Nader, Ralph",independent,FALSE,11301,2293475
2008,Arizona,AZ,86,61,US President,"McKinney, Cynthia",green,FALSE,3406,2293475
2008,Arkansas,AR,71,42,US President,"McCain, John",republican,FALSE,638017,1086617
2008,Arkansas,AR,71,42,US President,"Obama, Barack H.",democrat,FALSE,422310,1086617
2008,Arkansas,AR,71,42,US President,"Nader, Ralph",independent,FALSE,12882,1086617
2008,Arkansas,AR,71,42,US President,"Barr, Bob",libertarian,FALSE,4776,1086617
2008,Arkansas,AR,71,42,US President,"Baldwin, Charles """"Chuck""""",constitution party,FALSE,4023,1086617
2008,Arkansas,AR,71,42,US President,"McKinney, Cynthia",green,FALSE,3470,1086617
2008,Arkansas,AR,71,42,US President,"La Riva, Gloria Estella",socialism and liberation party,FALSE,1139,1086617
2008,California,CA,93,71,US President,"Obama, Barack H.",democrat,FALSE,8274473,13561900
2008,California,CA,93,71,US President,"McCain, John",republican,FALSE,5011781,13561900
2008,California,CA,93,71,US President,"Nader, Ralph",peace & freedom,FALSE,108381,13561900
2008,California,CA,93,71,US President,"Barr, Bob",libertarian,FALSE,67582,13561900
2008,California,CA,93,71,US President,"Keyes, Alan",american independent party,FALSE,40673,13561900
2008,California,CA,93,71,US President,"McKinney, Cynthia",green,FALSE,38774,13561900
2008,Colorado,CO,84,62,US President,"Obama, Barack H.",democrat,FALSE,1288576,2401361
2008,Colorado,CO,84,62,US President,"McCain, John",republican,FALSE,1073589,2401361
2008,Colorado,CO,84,62,US President,"Nader, Ralph",independent,FALSE,13350,2401361
2008,Colorado,CO,84,62,US President,"Barr, Bob",libertarian,FALSE,10897,2401361
2008,Colorado,CO,84,62,US President,"Baldwin, Charles """"Chuck""""",constitution party,FALSE,6233,2401361
2008,Colorado,CO,84,62,US President,"Keyes, Alan",america's independent party,FALSE,3051,2401361
2008,Colorado,CO,84,62,US President,"McKinney, Cynthia",green,FALSE,2822,2401361
2008,Colorado,CO,84,62,US President,"McEnulty, Frank",unaffiliated,FALSE,828,2401361
2008,Colorado,CO,84,62,US President,"Jay, Charles",boston tea party,FALSE,598,2401361
2008,Colorado,CO,84,62,US President,"Allen, Jonathan",heartquake '08,FALSE,348,2401361
